epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.735,1.62319,1.91225,1.4802,0.88738,0.72861,0.83119,0.54201,1.16163,1.12036,1.14802,0.00332,0.00332,0.00332
2,216.507,1.27744,1.15654,1.23012,0.90168,0.72415,0.83337,0.56721,1.12557,1.00499,1.14674,0.00663687,0.00663687,0.00663687
3,312.368,1.26203,1.05887,1.21356,0.88967,0.75429,0.84786,0.58502,1.131,0.90943,1.13794,0.00993723,0.00993723,0.00993723
4,407.494,1.21046,0.97136,1.19692,0.91387,0.77217,0.87431,0.62469,1.01914,0.91836,1.07343,0.00992575,0.00992575,0.00992575
5,502.192,1.12984,0.8755,1.16323,0.94231,0.78758,0.89771,0.67851,0.91808,0.74123,1.03231,0.009901,0.009901,0.009901
6,597.118,1.07922,0.82589,1.14464,0.93179,0.82537,0.91363,0.69112,0.86703,0.63135,1.02639,0.00987625,0.00987625,0.00987625
7,710.688,1.01872,0.76799,1.11617,0.93156,0.8288,0.91371,0.69372,0.86626,0.60668,1.00597,0.0098515,0.0098515,0.0098515
8,804.96,0.98174,0.73009,1.10269,0.93472,0.84292,0.92265,0.71803,0.84714,0.57281,0.99654,0.00982675,0.00982675,0.00982675
9,898.927,0.96887,0.7113,1.09951,0.93576,0.83171,0.9246,0.72764,0.79302,0.56036,0.99333,0.009802,0.009802,0.009802
10,1068.14,0.9453,0.68851,1.09042,0.94814,0.84276,0.93167,0.74821,0.77602,0.53276,0.98806,0.00977725,0.00977725,0.00977725
11,1241.99,0.90206,0.65552,1.06988,0.94326,0.85085,0.93591,0.75114,0.7509,0.51332,0.97597,0.0097525,0.0097525,0.0097525
12,1366.6,0.89619,0.64786,1.0683,0.94345,0.84876,0.9338,0.75863,0.75422,0.50907,0.96667,0.00972775,0.00972775,0.00972775
13,1459.35,0.88706,0.63739,1.06756,0.94066,0.85742,0.9369,0.75953,0.74063,0.49384,0.961,0.009703,0.009703,0.009703
14,1551.97,0.86357,0.62404,1.05524,0.9419,0.85278,0.93638,0.76379,0.72139,0.50282,0.966,0.00967825,0.00967825,0.00967825
15,1644.43,0.85833,0.61821,1.05632,0.94849,0.85653,0.93995,0.77264,0.71125,0.48124,0.96777,0.0096535,0.0096535,0.0096535
16,1737.78,0.84427,0.60203,1.0461,0.94054,0.87196,0.94485,0.78189,0.68799,0.46032,0.94789,0.00962875,0.00962875,0.00962875
17,1831,0.83877,0.59814,1.04709,0.94209,0.85462,0.93824,0.76019,0.72793,0.48769,0.95898,0.009604,0.009604,0.009604
18,1924.03,0.82259,0.58626,1.04011,0.94939,0.86348,0.94234,0.78421,0.67093,0.44941,0.94436,0.00957925,0.00957925,0.00957925
19,2017.76,0.82375,0.58026,1.04141,0.946,0.84944,0.93291,0.77542,0.70173,0.4812,0.96183,0.0095545,0.0095545,0.0095545
20,2137.22,0.81199,0.57502,1.0369,0.94532,0.87045,0.94533,0.78853,0.67271,0.44541,0.94732,0.00952975,0.00952975,0.00952975
21,2308.58,0.81405,0.57246,1.03786,0.95321,0.85725,0.94705,0.78911,0.6711,0.4478,0.94284,0.009505,0.009505,0.009505
22,2464.28,0.79997,0.56055,1.03046,0.94377,0.87128,0.94673,0.78897,0.66917,0.43286,0.94284,0.00948025,0.00948025,0.00948025
23,2556.52,0.78718,0.55264,1.0278,0.94395,0.87079,0.94516,0.79286,0.66871,0.44088,0.94211,0.0094555,0.0094555,0.0094555
24,2649.62,0.7826,0.54839,1.02398,0.94558,0.8785,0.94988,0.79605,0.65989,0.42557,0.93815,0.00943075,0.00943075,0.00943075
25,2742.41,0.78057,0.54671,1.02609,0.95109,0.86887,0.94697,0.79909,0.63764,0.41375,0.93153,0.009406,0.009406,0.009406
26,2835.91,0.77616,0.54062,1.01856,0.95134,0.87593,0.95229,0.80075,0.64274,0.41523,0.92941,0.00938125,0.00938125,0.00938125
27,2935.82,0.76441,0.53413,1.01848,0.94929,0.8723,0.95227,0.80108,0.63585,0.41324,0.93357,0.0093565,0.0093565,0.0093565
28,3037.5,0.76374,0.53017,1.01767,0.94563,0.88445,0.95332,0.80775,0.63317,0.39973,0.92726,0.00933175,0.00933175,0.00933175
29,3131.23,0.76028,0.52779,1.01504,0.94689,0.88611,0.95521,0.80677,0.62463,0.40759,0.92395,0.009307,0.009307,0.009307
30,3267.31,0.74857,0.51979,1.00879,0.95186,0.87604,0.95275,0.80971,0.62662,0.4027,0.92658,0.00928225,0.00928225,0.00928225
31,3437.06,0.75177,0.52596,1.0121,0.95065,0.87718,0.95362,0.81129,0.60989,0.4046,0.92304,0.0092575,0.0092575,0.0092575
32,3585.91,0.75011,0.52451,1.01356,0.95491,0.87708,0.95274,0.81542,0.61467,0.39628,0.92765,0.00923275,0.00923275,0.00923275
33,3678.86,0.73755,0.50975,1.00277,0.94991,0.88404,0.95498,0.81563,0.61265,0.3969,0.91789,0.009208,0.009208,0.009208
34,3775.34,0.72499,0.50351,1.00177,0.95084,0.8855,0.95404,0.81563,0.61938,0.39692,0.92634,0.00918325,0.00918325,0.00918325
35,3867.97,0.72376,0.49995,1.00332,0.95341,0.88602,0.95401,0.81547,0.61313,0.38183,0.91873,0.0091585,0.0091585,0.0091585
36,3964.66,0.74056,0.50665,1.00816,0.95307,0.88134,0.95496,0.8193,0.60547,0.3845,0.92544,0.00913375,0.00913375,0.00913375
37,4057.82,0.70862,0.49184,0.99504,0.94227,0.89127,0.95636,0.82035,0.59917,0.38476,0.91503,0.009109,0.009109,0.009109
38,4160.26,0.72677,0.49954,1.00404,0.94785,0.89068,0.95486,0.81857,0.60317,0.38081,0.92123,0.00908425,0.00908425,0.00908425
39,4283.19,0.71875,0.49568,1.00295,0.94884,0.88715,0.95476,0.82245,0.59549,0.37677,0.91796,0.0090595,0.0090595,0.0090595
40,4438.56,0.71254,0.49064,0.99825,0.95472,0.89005,0.95914,0.81879,0.60053,0.37313,0.92111,0.00903475,0.00903475,0.00903475
41,4607.01,0.702,0.48181,0.99151,0.95323,0.8859,0.95691,0.82304,0.59138,0.37349,0.9178,0.00901,0.00901,0.00901
42,4725.76,0.70704,0.48427,0.99692,0.94929,0.89407,0.95771,0.8235,0.58284,0.36936,0.91453,0.00898525,0.00898525,0.00898525
43,4818.51,0.71001,0.48315,0.9924,0.94456,0.88965,0.95669,0.82288,0.58336,0.37732,0.9137,0.0089605,0.0089605,0.0089605
44,4911.47,0.70592,0.48432,0.99604,0.9518,0.89431,0.95698,0.82503,0.59018,0.36972,0.91464,0.00893575,0.00893575,0.00893575
45,5005.13,0.69375,0.4819,0.99606,0.94992,0.88974,0.95769,0.82814,0.5781,0.36327,0.91319,0.008911,0.008911,0.008911
46,5098.94,0.69134,0.4747,0.98961,0.9461,0.89493,0.95911,0.82831,0.58365,0.36513,0.9143,0.00888625,0.00888625,0.00888625
47,5220.15,0.68852,0.47267,0.9872,0.94131,0.90089,0.9594,0.82731,0.57666,0.36307,0.91108,0.0088615,0.0088615,0.0088615
48,5390.33,0.70444,0.48028,0.99593,0.94772,0.88767,0.95719,0.826,0.58796,0.368,0.91634,0.00883675,0.00883675,0.00883675
49,5554.3,0.69662,0.47328,0.98922,0.94612,0.89697,0.95867,0.82913,0.57838,0.35887,0.91004,0.008812,0.008812,0.008812
50,5689.54,0.68958,0.46779,0.98854,0.94835,0.90096,0.9609,0.82978,0.57503,0.35635,0.91266,0.00878725,0.00878725,0.00878725
51,5781.91,0.68862,0.46766,0.98821,0.9492,0.89483,0.96053,0.83209,0.56451,0.35465,0.90849,0.0087625,0.0087625,0.0087625
52,5874.57,0.6753,0.46164,0.98324,0.94701,0.89795,0.96062,0.83181,0.56642,0.35227,0.90718,0.00873775,0.00873775,0.00873775
53,5967.36,0.68233,0.46397,0.98573,0.94994,0.89633,0.9601,0.83058,0.5686,0.35253,0.90864,0.008713,0.008713,0.008713
